pot,treatment,treatment_ID,replicate,pot_ID,spec_comb,tree_ID,species,date_t0,RCD_1_mm,RCD_2_mm,RCD_t0_mm,shoot_t0_cm,notes,date_t1,RCD_1_mm,RCD_2_mm,RCD_t1_mm,shoot_t1_cm,date_t2,RCD_1_mm,RCD_2_mm,RCD_t2_mm,shoot_t2_cm,notes,date_t3,RCD_1_mm,RCD_2_mm,RCD_t3_mm,shoot_t3_cm
34,mix,Mix_AI_EI ,2,Mix_1AI_2EI 2,ACSA-PIST-PIST,2,PIST,2024-07-13,3.26,3.18,3.2,24.0,,2024-07-25,3.51,3.12,3.3,24.0,2024-08-22,3.56,3.77,3.7,24.0,,,,,0.0,
34,mix,Mix_AI_EI ,2,Mix_1AI_2EI 2,ACSA-PIST-PIST,3,ACSA,2024-07-13,1.50,1.48,1.5,2.5,,2024-07-25,1.76,1.51,1.6,2.5,2024-08-22,1.63,1.81,1.7,4.0,,,,,0.0,
35,mix,Mix_AI_ET ,1,Mix_2AI_1ET 1,ACSA-ACSA-QURU,1,ACSA,2024-07-13,1.80,1.94,1.9,6.0,,2024-07-25,2.01,1.77,1.9,6.0,2024-08-22,1.87,2.09,2.0,6.0,,,,,0.0,
35,mix,Mix_AI_ET ,1,Mix_2AI_1ET 1,ACSA-ACSA-QURU,2,QURU,2024-07-13,3.68,3.35,3.5,18.5,,2024-07-25,3.77,3.51,3.6,19.0,2024-08-22,4.35,4.33,4.3,20.0,,,,,0.0,
35,mix,Mix_AI_ET ,1,Mix_2AI_1ET 1,ACSA-ACSA-QURU,3,ACSA,2024-07-13,0.91,0.99,1.0,6.5,,2024-07-25,1.01,1.11,1.1,7.0,2024-08-22,1.29,1.48,1.4,6.5,,,,,0.0,
36,mono,M_ET ,3,M_ET 3,QURU-QURU-QURU,1,QURU,2024-07-13,3.20,3.33,3.3,18.0,,2024-07-25,3.45,3.10,3.3,17.5,2024-08-22,4.02,4.15,4.1,18.0,,,,,0.0,
36,mono,M_ET ,3,M_ET 3,QURU-QURU-QURU,2,QURU,2024-07-13,2.70,2.73,2.7,14.0,,2024-07-25,3.01,3.12,3.1,15.0,2024-08-22,4.39,4.25,4.3,25.5,,,,,0.0,
36,mono,M_ET ,3,M_ET 3,QURU-QURU-QURU,3,QURU,2024-07-13,4.23,3.67,4.0,16.5,,2024-07-25,4.43,3.10,3.8,18.0,2024-08-22,4.14,4.34,4.2,20.0,,,,,0.0,
37,mono,M_ET ,4,M_ET 4,QURU-QURU-QURU,1,QURU,2024-07-13,3.43,3.64,3.5,13.0,,2024-07-25,3.51,3.74,3.6,14.0,2024-08-22,5.22,5.06,5.1,28.5,,,,,0.0,
37,mono,M_ET ,4,M_ET 4,QURU-QURU-QURU,2,QURU,2024-07-13,3.29,3.26,3.3,21.0,,2024-07-25,3.41,3.58,3.5,22.0,2024-08-22,4.15,3.99,4.1,22.0,,,,,0.0,
37,mono,M_ET ,4,M_ET 4,QURU-QURU-QURU,3,QURU,2024-07-13,2.90,2.95,2.9,14.0,,2024-07-25,2.87,3.07,3.0,15.5,2024-08-22,3.61,3.67,3.6,23.0,,,,,0.0,
38,mix,Mix_AI_EI ,3,Mix_1AI_2EI 3,ACSA-PIST-PIST,1,ACSA,2024-07-13,1.49,1.59,1.5,10.5,check replicate number,2024-07-25,1.66,1.76,1.7,12.0,2024-08-22,1.90,1.83,1.9,10.0,,,,,0.0,
38,mix,Mix_AI_EI ,3,Mix_1AI_2EI 3,ACSA-PIST-PIST,2,PIST,2024-07-13,3.74,3.75,3.7,17.0,,2024-07-25,3.88,3.92,3.9,18.0,2024-08-22,4.29,4.34,4.3,20.0,,,,,0.0,
38,mix,Mix_AI_EI ,3,Mix_1AI_2EI 3,ACSA-PIST-PIST,3,PIST,2024-07-13,3.74,3.84,3.8,25.5,,2024-07-25,3.65,3.92,3.8,26.0,2024-08-22,4.35,4.73,4.5,27.5,,,,,0.0,
39,mono,M_AT ,4,M_AT 4,PRSE-PRSE-PRSE,1,PRSE,2024-07-13,1.95,2.00,2.0,21.0,,2024-07-25,2.20,2.31,2.3,22.0,2024-08-22,5.05,5.18,5.1,37.0,,,,,0.0,
39,mono,M_AT ,4,M_AT 4,PRSE-PRSE-PRSE,2,PRSE,2024-07-13,2.18,2.17,2.2,12.5,"top is dead, measured to tallest living apical meristem",2024-07-25,2.20,2.54,2.4,13.0,2024-08-22,3.00,3.11,3.1,30.0,,,,,0.0,
39,mono,M_AT ,4,M_AT 4,PRSE-PRSE-PRSE,3,PRSE,2024-07-13,2.26,2.07,2.2,15.5,"top is dead, measured to tallest living apical meristem",2024-07-25,2.21,2.48,2.3,16.0,2024-08-22,3.30,3.50,3.4,31.0,,,,,0.0,
40,mix,EM_ET_EI ,2,EM_2ET_1EI 2,PIST-QURU-QURU,1,QURU,2024-07-13,2.85,2.79,2.8,10.0,,2024-07-25,2.95,3.27,3.1,10.5,2024-08-22,3.08,3.14,3.1,10.0,,,,,0.0,
40,mix,EM_ET_EI ,2,EM_2ET_1EI 2,PIST-QURU-QURU,2,QURU,2024-07-13,3.18,3.06,3.1,8.5,,2024-07-25,3.88,3.00,3.4,9.0,2024-08-22,3.31,3.20,3.3,11.0,,,,,0.0,
40,mix,EM_ET_EI ,2,EM_2ET_1EI 2,PIST-QURU-QURU,3,PIST,2024-07-13,3.61,3.46,3.5,16.0,,2024-07-25,3.21,3.88,3.5,17.0,2024-08-22,3.89,4.01,4.0,17.5,,,,,0.0,
41,mono,M_EI ,2,M_EI 2,PIST-PIST-PIST,1,PIST,2024-07-13,3.40,3.66,3.5,16.0,,2024-07-25,3.56,3.84,3.7,16.0,2024-08-22,4.34,4.23,4.3,20.0,,,,,0.0,
41,mono,M_EI ,2,M_EI 2,PIST-PIST-PIST,2,PIST,2024-07-13,3.37,3.37,3.4,20.0,,2024-07-25,3.38,3.99,3.7,19.5,2024-08-22,4.01,4.16,4.1,24.0,,,,,0.0,
41,mono,M_EI ,2,M_EI 2,PIST-PIST-PIST,3,PIST,2024-07-13,3.70,3.84,3.8,22.0,,2024-07-25,3.78,3.61,3.7,23.0,2024-08-22,4.68,4.81,4.7,24.5,,,,,0.0,
42,mix,AM_AT_AI ,3,AM_2AT_1AI 3,ACSA-PRSE-PRSE,1,PRSE,2024-07-13,2.47,2.47,2.5,31.0,,2024-07-25,2.78,2.66,2.7,31.0,2024-08-22,4.95,4.74,4.8,38.0,,,,,0.0,
42,mix,AM_AT_AI ,3,AM_2AT_1AI 3,ACSA-PRSE-PRSE,2,ACSA,2024-07-13,1.33,1.20,1.3,7.5,,2024-07-25,1.33,1.98,1.7,7.5,2024-08-22,1.81,2.06,1.9,8.0,,,,,0.0,
42,mix,AM_AT_AI ,3,AM_2AT_1AI 3,ACSA-PRSE-PRSE,3,PRSE,2024-07-13,2.01,2.13,2.1,35.0,,2024-07-25,2.42,2.20,2.3,36.0,2024-08-22,4.63,4.52,4.6,39.0,,,,,0.0,
43,mix,Mix_AI_ET ,2,Mix_2AI_1ET 2,ACSA-ACSA-QURU,1,QURU,2024-07-13,3.50,3.61,3.6,16.0,,2024-07-25,3.72,3.57,3.6,16.5,2024-08-22,4.42,4.70,4.6,20.0,,,,,0.0,
43,mix,Mix_AI_ET ,2,Mix_2AI_1ET 2,ACSA-ACSA-QURU,2,ACSA,2024-07-13,1.15,1.14,1.1,5.0,,2024-07-25,1.21,1.75,1.5,6.0,2024-08-22,1.34,1.31,1.3,5.5,,,,,0.0,
43,mix,Mix_AI_ET ,2,Mix_2AI_1ET 2,ACSA-ACSA-QURU,3,ACSA,2024-07-13,1.21,1.27,1.2,10.0,,2024-07-25,1.76,1.88,1.8,11.0,2024-08-22,1.36,1.30,1.3,10.0,,,,,0.0,
44,mono,M_EI ,3,M_EI 3,PIST-PIST-PIST,1,PIST,2024-07-13,3.76,3.78,3.8,20.0,,2024-07-25,3.71,3.15,3.4,21.0,2024-08-22,4.90,4.73,4.8,21.0,,,,,0.0,
44,mono,M_EI ,3,M_EI 3,PIST-PIST-PIST,2,PIST,2024-07-13,2.37,2.40,2.4,10.0,,2024-07-25,2.55,2.62,2.6,11.0,2024-08-22,2.82,2.96,2.9,11.0,,,,,0.0,
44,mono,M_EI ,3,M_EI 3,PIST-PIST-PIST,3,PIST,2024-07-13,3.38,3.37,3.4,20.0,,2024-07-25,3.50,3.65,3.6,21.0,2024-08-22,3.70,3.65,3.7,19.5,,,,,0.0,
45,mix,Mix_AI_ET ,3,Mix_2AI_1ET 3,ACSA-ACSA-QURU,1,ACSA,2024-07-13,1.31,1.39,1.4,8.0,,2024-07-25,1.41,1.72,1.6,9.0,2024-08-22,1.65,1.39,1.5,8.0,,,,,0.0,
45,mix,Mix_AI_ET ,3,Mix_2AI_1ET 3,ACSA-ACSA-QURU,2,ACSA,2024-07-13,1.05,0.95,1.0,8.0,,2024-07-25,1.75,1.01,1.4,9.0,2024-08-22,1.66,1.69,1.7,8.5,,,,,0.0,
45,mix,Mix_AI_ET ,3,Mix_2AI_1ET 3,ACSA-ACSA-QURU,3,QURU,2024-07-13,3.28,3.15,3.2,14.0,"top is dead, measured to tallest living apical meristem",2024-07-25,3.33,3.18,3.3,15.0,2024-08-22,4.61,4.66,4.6,20.0,,,,,0.0,
46,mix,EM_ET_EI ,3,EM_2ET_1EI 3,PIST-QURU-QURU,1,PIST,2024-07-13,3.38,3.49,3.4,19.0,,2024-07-25,3.87,3.12,3.5,21.0,2024-08-22,3.67,3.94,3.8,20.0,,,,,0.0,
46,mix,EM_ET_EI ,3,EM_2ET_1EI 3,PIST-QURU-QURU,2,QURU,2024-07-13,1.90,2.05,2.0,7.0,,2024-07-25,1.99,1.94,2.0,8.0,2024-08-22,2.19,2.05,2.1,8.0,,,,,0.0,
46,mix,EM_ET_EI ,3,EM_2ET_1EI 3,PIST-QURU-QURU,3,QURU,2024-07-13,3.08,3.13,3.1,16.0,,2024-07-25,3.01,3.18,3.1,17.0,2024-08-22,3.62,3.69,3.7,18.5,,,,,0.0,
47,mix,AM_AT_AI ,5,AM_2AT_1AI 5,ACSA-ACSA-PRSE,1,ACSA,2024-07-13,1.18,1.13,1.2,8.0,,2024-07-25,1.19,1.28,1.2,8.0,2024-08-22,1.27,1.36,1.3,8.5,,,,,0.0,
47,mix,AM_AT_AI ,5,AM_2AT_1AI 5,ACSA-ACSA-PRSE,2,ACSA,2024-07-13,1.15,1.30,1.2,6.0,,2024-07-25,1.22,1.41,1.3,7.0,2024-08-22,1.45,1.89,1.7,5.5,,,,,0.0,
47,mix,AM_AT_AI ,5,AM_2AT_1AI 5,ACSA-ACSA-PRSE,3,PRSE,2024-07-13,1.74,1.50,1.6,9.0,"top is dead, measured to tallest living apical meristem",2024-07-25,1.88,1.73,1.8,9.0,2024-08-22,2.21,2.38,2.3,24.0,,,,,0.0,
48,mix,Mix_AT_ET ,2,Mix_1AT_2ET 2,PRSE-QURU-QURU,1,PRSE,2024-07-13,2.53,2.34,2.4,23.0,,2024-07-25,2.62,2.44,2.5,23.0,2024-08-22,5.80,5.44,5.6,38.0,,,,,0.0,
48,mix,Mix_AT_ET ,2,Mix_1AT_2ET 2,PRSE-QURU-QURU,2,QURU,2024-07-13,3.65,3.86,3.8,16.0,,2024-07-25,3.85,3.91,3.9,17.0,2024-08-22,4.55,4.74,4.6,18.5,,,,,0.0,
48,mix,Mix_AT_ET ,2,Mix_1AT_2ET 2,PRSE-QURU-QURU,3,QURU,2024-07-13,3.36,2.51,2.9,18.0,,2024-07-25,3.41,2.89,3.2,19.0,2024-08-22,4.48,4.87,4.7,17.5,,,,,0.0,
49,mix,Mix_AT_ET ,3,Mix_1AT_2ET 3,PRSE-QURU-QURU,1,QURU,2024-07-13,3.29,3.26,3.3,14.0,,2024-07-25,3.41,3.55,3.5,14.0,2024-08-22,3.90,3.74,3.8,15.0,,,,,0.0,
49,mix,Mix_AT_ET ,3,Mix_1AT_2ET 3,PRSE-QURU-QURU,2,PRSE,2024-07-13,2.23,2.37,2.3,18.0,"top is dead, measured to tallest living apical meristem",2024-07-25,2.26,2.84,2.6,19.5,2024-08-22,4.49,4.48,4.5,37.0,,,,,0.0,
49,mix,Mix_AT_ET ,3,Mix_1AT_2ET 3,PRSE-QURU-QURU,3,QURU,2024-07-13,2.89,2.86,2.9,18.0,,2024-07-25,2.63,2.99,2.8,19.0,2024-08-22,3.21,3.12,3.2,20.5,,,,,0.0,
50,mix,Mix_AI_ET ,3,Mix_1AI_2ET 3,ACSA-QURU-QURU,1,QURU,2024-07-13,3.35,3.53,3.4,16.5,,2024-07-25,3.51,3.61,3.6,17.0,2024-08-22,4.12,3.94,4.0,17.0,,,,,0.0,
50,mix,Mix_AI_ET ,3,Mix_1AI_2ET 3,ACSA-QURU-QURU,2,QURU,2024-07-13,3.47,3.28,3.4,21.0,,2024-07-25,3.61,3.51,3.6,22.0,2024-08-22,5.04,5.15,5.1,29.0,,,,,0.0,
50,mix,Mix_AI_ET ,3,Mix_1AI_2ET 3,ACSA-QURU-QURU,3,ACSA,2024-07-13,1.98,2.08,2.0,10.0,,2024-07-25,1.78,2.02,1.9,10.0,2024-08-22,1.99,2.02,2.0,10.0,,,,,0.0,
51,mono,M_ET ,5,M_ET 5,QURU-QURU-QURU,1,QURU,2024-07-13,2.48,2.53,2.5,13.0,,2024-07-25,2.53,2.66,2.6,13.5,2024-08-22,2.64,2.74,2.7,14.5,,,,,0.0,
51,mono,M_ET ,5,M_ET 5,QURU-QURU-QURU,2,QURU,2024-07-13,1.98,2.14,2.1,9.5,,2024-07-25,2.07,2.12,2.1,10.0,2024-08-22,2.56,2.59,2.6,12.0,,,,,0.0,
51,mono,M_ET ,5,M_ET 5,QURU-QURU-QURU,3,QURU,2024-07-13,2.87,2.79,2.8,20.0,,2024-07-25,2.95,2.66,2.8,21.0,2024-08-22,3.63,3.81,3.7,20.0,,,,,0.0,
52,mix,Mix_AT_EI ,3,Mix_2AT_1EI 3,PIST-PRSE-PRSE,1,PRSE,2024-07-13,2.00,2.28,2.1,28.0,"top is dead, measured to tallest living apical meristem",2024-07-25,2.00,2.70,2.4,30.0,2024-08-22,2.55,2.65,2.6,35.0,,,,,0.0,
52,mix,Mix_AT_EI ,3,Mix_2AT_1EI 3,PIST-PRSE-PRSE,2,PIST,2024-07-13,3.44,3.56,3.5,17.5,,2024-07-25,3.71,3.66,3.7,19.0,2024-08-22,4.70,4.33,4.5,17.5,,,,,0.0,
52,mix,Mix_AT_EI ,3,Mix_2AT_1EI 3,PIST-PRSE-PRSE,3,PRSE,2024-07-13,2.87,2.79,2.8,40.5,,2024-07-25,2.81,2.71,2.8,42.0,2024-08-22,5.64,5.75,5.7,59.0,,,,,0.0,
53,mix,Mix_AT_EI ,4,Mix_2AT_1EI 4,PIST-PRSE-PRSE,1,PRSE,2024-07-14,2.01,1.95,2.0,23.0,,2024-07-25,2.17,2.07,2.1,24.0,2024-08-22,4.42,4.32,4.4,37.0,,,,,0.0,
53,mix,Mix_AT_EI ,4,Mix_2AT_1EI 4,PIST-PRSE-PRSE,2,PIST,2024-07-14,3.16,3.53,3.3,21.0,,2024-07-25,3.15,3.77,3.5,24.0,2024-08-22,4.28,4.15,4.2,22.0,,,,,0.0,
53,mix,Mix_AT_EI ,4,Mix_2AT_1EI 4,PIST-PRSE-PRSE,3,PRSE,2024-07-14,3.04,3.09,3.1,39.0,,2024-07-25,3.07,3.16,3.1,40.0,2024-08-22,6.39,6.22,6.3,56.0,,,,,0.0,
54,mix,Mix_AI_ET ,4,Mix_1AI_2ET 4,ACSA-QURU-QURU,1,ACSA,2024-07-14,1.58,1.65,1.6,7.0,,2024-07-25,1.62,1.77,1.7,6.5,2024-08-22,1.93,1.95,1.9,8.0,,,,,0.0,
54,mix,Mix_AI_ET ,4,Mix_1AI_2ET 4,ACSA-QURU-QURU,2,QURU,2024-07-14,2.20,2.12,2.2,11.5,,2024-07-25,2.32,2.22,2.3,12.0,2024-08-22,2.53,2.50,2.5,15.0,,,,,0.0,
54,mix,Mix_AI_ET ,4,Mix_1AI_2ET 4,ACSA-QURU-QURU,3,QURU,2024-07-14,3.71,3.69,3.7,23.0,,2024-07-25,3.87,3.79,3.8,24.0,2024-08-22,4.90,4.85,4.9,25.5,,,,,0.0,
55,mix,Mix_AT_EI ,5,Mix_2AT_1EI 5,PIST-PRSE-PRSE,1,PRSE,2024-07-14,3.33,3.19,3.3,32.0,,2024-07-25,3.54,3.44,3.5,34.0,2024-08-22,6.78,6.81,6.8,53.0,,,,,0.0,
55,mix,Mix_AT_EI ,5,Mix_2AT_1EI 5,PIST-PRSE-PRSE,2,PRSE,2024-07-14,3.30,3.28,3.3,42.5,,2024-07-25,3.60,3.56,3.6,42.0,2024-08-22,5.12,5.51,5.3,44.0,,,,,0.0,
55,mix,Mix_AT_EI ,5,Mix_2AT_1EI 5,PIST-PRSE-PRSE,3,PIST,2024-07-14,3.15,2.92,3.0,22.0,,2024-07-25,3.25,3.08,3.2,22.0,2024-08-22,3.36,3.94,3.7,23.0,,,,,0.0,
56,mix,AM_AT_AI ,4,AM_2AT_1AI 4,ACSA-PRSE-PRSE,1,PRSE,2024-07-14,2.66,2.76,2.7,30.0,,2024-07-25,2.76,2.87,2.8,30.0,2024-08-22,3.91,3.97,3.9,33.0,,,,,0.0,
56,mix,AM_AT_AI ,4,AM_2AT_1AI 4,ACSA-PRSE-PRSE,2,ACSA,2024-07-14,1.64,1.75,1.7,9.0,,2024-07-25,1.67,1.88,1.8,9.5,2024-08-22,1.41,1.51,1.5,10.0,,,,,0.0,
56,mix,AM_AT_AI ,4,AM_2AT_1AI 4,ACSA-PRSE-PRSE,3,PRSE,2024-07-14,3.22,3.13,3.2,36.0,,2024-07-25,3.45,3.32,3.4,36.0,2024-08-22,5.82,6.23,6.0,48.0,,,,,0.0,
57,mix,Mix_AI_ET ,5,Mix_1AI_2ET 5,ACSA-QURU-QURU,1,QURU,2024-07-14,3.04,3.17,3.1,19.0,,2024-07-25,3.11,3.19,3.2,19.5,2024-08-22,3.44,3.44,3.4,20.0,,,,,0.0,
57,mix,Mix_AI_ET ,5,Mix_1AI_2ET 5,ACSA-QURU-QURU,2,ACSA,2024-07-14,1.51,1.52,1.5,6.5,,2024-07-25,1.56,1.66,1.6,7.0,2024-08-22,1.59,1.80,1.7,8.0,,,,,0.0,
57,mix,Mix_AI_ET ,5,Mix_1AI_2ET 5,ACSA-QURU-QURU,3,QURU,2024-07-14,3.22,3.04,3.1,18.0,,2024-07-25,3.45,3.29,3.4,18.0,2024-08-22,4.67,4.26,4.5,19.0,,,,,0.0,
58,mix,Mix_AI_EI ,4,Mix_1AI_2EI 4,ACSA-PIST-PIST,1,PIST,2024-07-14,3.77,3.78,3.8,25.0,,2024-07-25,3.98,3.78,3.9,25.0,2024-08-22,4.77,4.61,4.7,26.0,,,,,0.0,
58,mix,Mix_AI_EI ,4,Mix_1AI_2EI 4,ACSA-PIST-PIST,2,ACSA,2024-07-14,3.27,3.31,3.3,9.0,,2024-07-25,3.26,3.76,3.5,10.0,2024-08-22,1.84,1.69,1.8,9.0,prior measurment wrong,,,,0.0,
58,mix,Mix_AI_EI ,4,Mix_1AI_2EI 4,ACSA-PIST-PIST,3,PIST,2024-07-14,2.91,3.06,3.0,19.5,,2024-07-25,2.97,3.07,3.0,20.0,2024-08-22,3.85,3.97,3.9,19.5,,,,,0.0,
59,mono,M_AT ,5,M_AT 5,PRSE-PRSE-PRSE,1,PRSE,2024-07-14,3.06,2.98,3.0,39.0,,2024-07-25,3.21,3.00,3.1,40.0,2024-08-23,5.79,6.10,5.9,62.5,,,,,0.0,
59,mono,M_AT ,5,M_AT 5,PRSE-PRSE-PRSE,2,PRSE,2024-07-14,2.89,2.62,2.8,35.0,,2024-07-25,2.90,2.86,2.9,37.0,2024-08-23,5.27,5.55,5.4,59.0,,,,,0.0,
59,mono,M_AT ,5,M_AT 5,PRSE-PRSE-PRSE,3,PRSE,2024-07-14,2.52,2.41,2.5,25.5,,2024-07-25,2.53,2.77,2.7,26.5,2024-08-23,4.94,4.90,4.9,37.0,,,,,0.0,
60,mono,M_AI ,4,M_AI 4,ACSA-ACSA-ACSA,1,ACSA,2024-07-14,1.49,1.42,1.5,8.0,,2024-07-25,1.88,1.93,1.9,9.0,2024-08-23,2.17,2.18,2.2,8.5,,,,,0.0,
60,mono,M_AI ,4,M_AI 4,ACSA-ACSA-ACSA,2,ACSA,2024-07-14,1.39,1.48,1.4,10.0,,2024-07-25,1.54,1.94,1.7,11.0,2024-08-23,1.74,1.74,1.7,10.5,,,,,0.0,
60,mono,M_AI ,4,M_AI 4,ACSA-ACSA-ACSA,3,ACSA,2024-07-14,1.09,1.08,1.1,5.0,,2024-07-25,1.42,1.61,1.5,6.0,2024-08-23,1.33,1.31,1.3,5.0,,,,,0.0,
61,mix,Mix_AT_EI ,2,Mix_1AT_2EI 2,PIST-PIST-PRSE,1,PIST,2024-07-14,3.18,3.25,3.2,18.0,,2024-07-25,3.85,3.62,3.7,19.0,2024-08-23,3.70,3.71,3.7,19.0,,,,,0.0,
61,mix,Mix_AT_EI ,2,Mix_1AT_2EI 2,PIST-PIST-PRSE,2,PIST,2024-07-14,3.54,3.65,3.6,22.0,,2024-07-25,3.91,3.86,3.9,25.0,2024-08-23,4.04,4.24,4.1,24.0,,,,,0.0,
61,mix,Mix_AT_EI ,2,Mix_1AT_2EI 2,PIST-PIST-PRSE,3,PRSE,2024-07-14,2.55,2.51,2.5,34.0,,2024-07-25,2.75,2.66,2.7,36.0,2024-08-23,5.54,5.65,5.6,52.5,,,,,0.0,
62,mono,M_AT ,6,M_AT 6,PRSE-PRSE-PRSE,1,PRSE,2024-07-14,3.59,3.84,3.7,36.0,,2024-07-25,3.31,3.89,3.6,38.0,2024-08-23,7.64,8.16,7.9,55.0,,,,,0.0,
62,mono,M_AT ,6,M_AT 6,PRSE-PRSE-PRSE,2,PRSE,2024-07-14,3.06,3.17,3.1,37.0,,2024-07-25,3.21,3.43,3.3,38.5,2024-08-23,8.06,8.03,8.0,52.0,,,,,0.0,
62,mono,M_AT ,6,M_AT 6,PRSE-PRSE-PRSE,3,PRSE,2024-07-14,2.23,3.35,2.8,28.0,,2024-07-25,2.34,2.98,2.7,29.0,2024-08-23,4.54,4.58,4.6,48.0,,,,,0.0,
63,mono,M_AI ,5,M_AI 5,ACSA-ACSA-ACSA,1,ACSA,2024-07-14,1.63,1.50,1.6,8.0,,2024-07-25,1.85,1.76,1.8,9.0,2024-08-23,1.65,1.91,1.8,8.0,,,,,0.0,
63,mono,M_AI ,5,M_AI 5,ACSA-ACSA-ACSA,2,ACSA,2024-07-14,1.42,1.52,1.5,8.0,,2024-07-25,1.72,1.84,1.8,9.0,2024-08-23,1.93,1.47,1.7,10.0,,,,,0.0,
63,mono,M_AI ,5,M_AI 5,ACSA-ACSA-ACSA,3,ACSA,2024-07-14,1.16,1.05,1.1,4.5,,2024-07-25,1.37,1.29,1.3,5.0,2024-08-23,1.16,1.27,1.2,4.0,,,,,0.0,
64,mono,M_AI ,6,M_AI 6,ACSA-ACSA-ACSA,1,ACSA,2024-07-14,1.18,1.22,1.2,2.5,,2024-07-25,1.43,1.29,1.4,3.0,2024-08-23,1.95,2.00,2.0,5.5,,,,,0.0,
64,mono,M_AI ,6,M_AI 6,ACSA-ACSA-ACSA,2,ACSA,2024-07-14,1.80,1.97,1.9,10.0,,2024-07-25,1.64,1.75,1.7,11.0,2024-08-23,1.86,1.81,1.8,11.0,,,,,0.0,
64,mono,M_AI ,6,M_AI 6,ACSA-ACSA-ACSA,3,ACSA,2024-07-14,0.00,0.00,0.0,2.0,,2024-07-25,0.00,0.00,0.0,2.0,2024-08-23,1.26,1.60,1.4,3.0,,,,,0.0,
65,mix,Mix_AI_ET ,4,Mix_2AI_1ET 4,ACSA-ACSA-QURU,1,ACSA,2024-07-14,0.79,0.99,0.9,2.5,,2024-07-25,0.88,1.01,0.9,2.5,2024-08-23,1.64,1.14,1.4,3.0,,,,,0.0,
65,mix,Mix_AI_ET ,4,Mix_2AI_1ET 4,ACSA-ACSA-QURU,2,ACSA,2024-07-14,1.68,1.72,1.7,9.0,,2024-07-25,1.81,1.88,1.8,11.0,2024-08-23,2.50,2.42,2.5,11.0,,,,,0.0,
65,mix,Mix_AI_ET ,4,Mix_2AI_1ET 4,ACSA-ACSA-QURU,3,QURU,2024-07-14,2.86,2.84,2.9,20.0,,2024-07-25,2.67,2.73,2.7,21.0,2024-08-23,3.55,3.58,3.6,20.5,,,,,0.0,
66,mix,Mix_AT_EI ,3,Mix_1AT_2EI 3,PIST-PIST-PRSE,1,PRSE,2024-07-14,2.69,2.56,2.6,34.0,,2024-07-25,2.99,3.01,3.0,35.0,2024-08-23,5.01,5.04,5.0,47.0,,,,,0.0,
66,mix,Mix_AT_EI ,3,Mix_1AT_2EI 3,PIST-PIST-PRSE,2,PIST,2024-07-14,3.50,3.66,3.6,19.5,,2024-07-25,3.66,3.12,3.4,20.0,2024-08-23,4.45,4.64,4.5,21.0,,,,,0.0,
66,mix,Mix_AT_EI ,3,Mix_1AT_2EI 3,PIST-PIST-PRSE,3,PIST,2024-07-14,3.74,3.61,3.7,24.0,,2024-07-25,4.01,3.88,3.9,25.0,2024-08-23,4.67,4.65,4.7,26.0,,,,,0.0,
67,mix,EM_ET_EI ,4,EM_1ET_2EI 4,PIST-PIST-QURU,1,PIST,2024-07-14,2.40,2.36,2.4,15.0,,2024-07-25,2.73,2.63,2.7,16.0,2024-08-23,2.97,2.99,3.0,14.0,,,,,0.0,
67,mix,EM_ET_EI ,4,EM_1ET_2EI 4,PIST-PIST-QURU,2,QURU,2024-07-14,3.00,2.93,3.0,12.5,,2024-07-25,3.09,3.19,3.1,13.0,2024-08-23,3.13,3.11,3.1,17.0,,,,,0.0,
67,mix,EM_ET_EI ,4,EM_1ET_2EI 4,PIST-PIST-QURU,3,PIST,2024-07-14,3.56,3.49,3.5,28.5,,2024-07-25,3.81,3.71,3.8,31.0,2024-08-23,4.70,4.78,4.7,29.0,,,,,0.0,
68,mix,Mix_AI_EI ,3,Mix_2AI_1EI 3,ACSA-ACSA-PIST,1,ACSA,2024-07-14,1.21,1.21,1.2,7.5,,2024-07-25,1.64,1.54,1.6,8.0,2024-08-23,1.25,1.09,1.2,8.0,,,,,0.0,
68,mix,Mix_AI_EI ,3,Mix_2AI_1EI 3,ACSA-ACSA-PIST,2,ACSA,2024-07-14,1.34,1.43,1.4,9.5,,2024-07-25,1.66,1.87,1.8,10.0,2024-08-23,1.90,1.86,1.9,11.0,,,,,0.0,
68,mix,Mix_AI_EI ,3,Mix_2AI_1EI 3,ACSA-ACSA-PIST,3,PIST,2024-07-14,4.29,4.19,4.2,26.0,,2024-07-25,4.70,4.21,4.5,27.0,2024-08-23,5.38,5.42,5.4,29.0,,,,,0.0,
69,mix,Mix_AI_EI ,5,Mix_1AI_2EI 5,ACSA-PIST-PIST,1,ACSA,2024-07-14,1.31,1.36,1.3,9.0,,2024-07-25,1.64,1.85,1.7,10.5,2024-08-23,1.56,1.55,1.6,8.5,,,,,0.0,
69,mix,Mix_AI_EI ,5,Mix_1AI_2EI 5,ACSA-PIST-PIST,2,PIST,2024-07-14,2.93,2.97,3.0,24.0,,2024-07-25,3.22,3.10,3.2,26.0,2024-08-23,4.09,4.19,4.1,26.0,,,,,0.0,
69,mix,Mix_AI_EI ,5,Mix_1AI_2EI 5,ACSA-PIST-PIST,3,PIST,2024-07-14,2.41,2.49,2.5,13.0,,2024-07-25,2.74,2.88,2.8,14.0,2024-08-23,3.22,3.31,3.3,14.5,,,,,0.0,
