pot,treatment,treatment_ID,replicate,pot_ID,spec_comb,tree_ID,species,date_t0,RCD_1_mm,RCD_2_mm,RCD_t0_mm,shoot_t0_cm,notes,date_t1,RCD_1_mm,RCD_2_mm,RCD_t1_mm,shoot_t1_cm,date_t2,RCD_1_mm,RCD_2_mm,RCD_t2_mm,shoot_t2_cm,notes,date_t3,RCD_1_mm,RCD_2_mm,RCD_t3_mm,shoot_t3_cm
8,mono,M_AI ,2,M_AI 2,ACSA-ACSA-ACSA,3,ACSA,2024-07-13,1.50,1.30,1.4,6.5,,2024-07-25,1.00,1.27,1.1,6.5,2024-08-22,1.71,1.87,1.8,7.0,,,,,0.0,
9,mix,EM_ET_EI ,1,EM_1ET_2EI 1,PIST-PIST-QURU,1,PIST,2024-07-13,3.98,4.18,4.1,20.0,,2024-07-25,4.37,4.95,4.7,20.5,2024-08-22,4.32,4.62,4.5,21.0,,,,,0.0,
9,mix,EM_ET_EI ,1,EM_1ET_2EI 1,PIST-PIST-QURU,2,QURU,2024-07-13,3.19,3.03,3.1,15.5,,2024-07-25,2.82,3.37,3.1,14.0,2024-08-22,2.72,2.74,2.7,15.5,,,,,0.0,
9,mix,EM_ET_EI ,1,EM_1ET_2EI 1,PIST-PIST-QURU,3,PIST,2024-07-13,2.44,2.37,2.4,16.5,,2024-07-25,2.77,3.52,3.1,17.0,2024-08-22,2.62,2.72,2.7,18.5,,,,,0.0,
10,mono,M_AI ,3,M_AI 3,ACSA-ACSA-ACSA,1,ACSA,2024-07-13,1.07,1.15,1.1,5.5,,2024-07-25,1.11,0.99,1.1,4.5,2024-08-22,0.83,0.96,0.9,5.5,,,,,0.0,
10,mono,M_AI ,3,M_AI 3,ACSA-ACSA-ACSA,2,ACSA,2024-07-13,1.37,1.28,1.3,8.0,,2024-07-25,0.99,1.95,1.5,7.5,2024-08-22,1.37,1.17,1.3,8.0,,,,,0.0,
10,mono,M_AI ,3,M_AI 3,ACSA-ACSA-ACSA,3,ACSA,2024-07-13,1.58,1.39,1.5,4.0,,2024-07-25,2.02,1.98,2.0,4.5,2024-08-22,1.51,1.54,1.5,4.0,,,,,0.0,
11,mono,M_AT ,2,M_AT 2,PRSE-PRSE-PRSE,1,PRSE,2024-07-13,3.03,3.05,3.0,36.5,,2024-07-25,4.66,3.97,4.3,37.0,2024-08-22,5.47,5.29,5.4,42.5,,,,,0.0,
11,mono,M_AT ,2,M_AT 2,PRSE-PRSE-PRSE,2,PRSE,2024-07-13,3.65,3.86,3.8,39.5,,2024-07-25,4.42,5.03,4.7,38.5,2024-08-22,6.56,6.13,6.3,51.5,,,,,0.0,
11,mono,M_AT ,2,M_AT 2,PRSE-PRSE-PRSE,3,PRSE,2024-07-13,2.56,2.67,2.6,21.0,,2024-07-25,2.71,3.18,2.9,24.5,2024-08-22,2.81,2.80,2.8,30.5,,,,,0.0,
12,mix,EM_ET-EI ,2,EM_1ET-2EI 2,PIST-PIST-QURU,1,PIST,2024-07-13,2.78,2.87,2.8,19.5,,2024-07-25,3.34,3.58,3.5,19.0,2024-08-22,3.33,3.14,3.2,19.5,,,,,0.0,
12,mix,EM_ET-EI ,2,EM_1ET-2EI 2,PIST-PIST-QURU,2,PIST,2024-07-13,3.75,3.90,3.8,22.5,,2024-07-25,4.41,4.82,4.6,22.5,2024-08-22,4.76,4.93,4.8,23.0,,,,,0.0,
12,mix,EM_ET-EI ,2,EM_1ET-2EI 2,PIST-PIST-QURU,3,QURU,2024-07-13,2.29,2.50,2.4,11.0,,2024-07-25,2.59,3.70,3.1,11.5,2024-08-22,2.81,2.95,2.9,12.5,,,,,0.0,
13,mix,AM_AT_AI ,1,AM_1AT_2AI 1,ACSA-ACSA-PRSE,1,ACSA,2024-07-13,0.95,0.88,0.9,4.5,,2024-07-25,1.70,1.84,1.8,5.5,2024-08-22,1.24,1.46,1.4,4.5,,,,,0.0,
13,mix,AM_AT_AI ,1,AM_1AT_2AI 1,ACSA-ACSA-PRSE,2,PRSE,2024-07-13,2.78,2.39,2.6,31.5,,2024-07-25,3.16,3.01,3.1,32.5,2024-08-22,4.93,5.04,5.0,50.0,,,,,0.0,
13,mix,AM_AT_AI ,1,AM_1AT_2AI 1,ACSA-ACSA-PRSE,3,ACSA,2024-07-13,1.72,1.71,1.7,7.0,,2024-07-25,1.27,1.66,1.5,6.5,2024-08-22,1.35,1.31,1.3,5.5,,,,,0.0,
14,mix,Mix_AT_ET ,2,Mix_2AT_1ET 2,PRSE-PRSE-QURU,1,PRSE,2024-07-13,2.24,2.17,2.2,33.5,,2024-07-25,3.16,2.87,3.0,33.5,2024-08-22,3.73,3.69,3.7,36.0,,,,,0.0,
14,mix,Mix_AT_ET ,2,Mix_2AT_1ET 2,PRSE-PRSE-QURU,2,PRSE,2024-07-13,2.36,2.37,2.4,29.5,,2024-07-25,2.96,2.87,2.9,31.0,2024-08-22,3.91,3.92,3.9,29.5,,,,,0.0,
14,mix,Mix_AT_ET ,2,Mix_2AT_1ET 2,PRSE-PRSE-QURU,3,QURU,2024-07-13,2.89,2.72,2.8,18.0,,2024-07-25,3.43,4.30,3.9,19.0,2024-08-22,3.73,3.60,3.7,19.0,,,,,0.0,
